H,BRANCH,CITY,STATE,ZIP,PART NO,QTY, ,IVC NBR,DATE,COST,PRICE,RES.EXT,ACCT.,NAME,CUST PO#,SHIP DATE,SHIP NBR,COUNTRY CODE,ID,CURRENCY CODE,EXCHANGE RATE,ID,CURRENCY CODE,EXCHANGE DATE
L,TX,LONGMONT,CO,80503,SiT8103AI-13-33E-24.00000X,20, ,55887885,20200304,0.6,1.32,26.4,1566804,ONCORE MANUFACTURING,573925,20200304,,US,BY,USD,1,SE,USD,20200304
L,TX,LONGMONT,CO,80503,SiT8103AI-13-33E-24.00000X,10, ,55888265,20200304,0.6,1.32,13.2,1566804,ONCORE MANUFACTURING,574475,20200304,,US,BY,USD,1,SE,USD,20200304
L,CA,SAN DIEGO,CA,92121,SiT8103AI-23-33E-100.00000X,4, ,55900920,20200304,0.86,1.82,7.28,1608416,HI-TECH ELECTRONIC MANUFACTURING INC,41936,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,SAN JOSE,CA,95131,SIT8918AA-11-33S-50.000000G,100, ,55910451,20200304,1.8,2.95,295,1011154,JAVAD EMS,71508050,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,DOTHAN,AL,36303,SIT1552AC-JE-DCC-32.768D,1, ,55911174,20200304,0.76,1.07,1.07,1924355,ENCO ELECTRONIC SYSTEMS,AL-AQUA-PROD,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,SHA TIN,HK,0,SIT8103AC-23-18E-33.33333X,2, ,55912857,20200304,0.564,1.46,2.92,5953884,GALAXY ELECTRONICS(HONGKONG)LIMITED,PO200302785161,20200304,,HK,BY,USD,1,SE,USD,20200304
L,WEB,SHA TIN,HK,0,SiT9102AI-243N25E200.00000X,2, ,55912857,20200304,5.484,8.47,16.94,5953884,GALAXY ELECTRONICS(HONGKONG)LIMITED,PO200302785161,20200304,,HK,BY,USD,1,SE,USD,20200304
L,WEB,SYDNEY,NS,2153,SiT8008BC-23-33E-90.000000G,25, ,55918620,20200304,0.43,1.252,31.3,5065229,SOURCEMAN INTERNATIONAL,AXP27789,20200304,,AU,BY,USD,1,SE,USD,20200304
L,WEB,ANAHEIM,CA,92807,SiT9365AC-2B2-33E156.250000G,10, ,55922990,20200304,3.96,6.86,68.6,1690213,"PWB AMERICA, INC.",18493653,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,ANAHEIM,CA,92807,SIT8008AI-11-18E-33.333333G,6, ,55922990,20200304,0.511,1.2,7.2,1690213,"PWB AMERICA, INC.",18493653,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,NUTLEY,NJ,7110,SiT5157AI-FK-33N0-100.000000X,13, ,55923031,20200304,25.2551,40.74,529.62,1135120,PNC INC,44537-50001-50002,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,CHIYODA-KU,EX,1010051,SIT8008BI-22-18E-100.000000G,20, ,55926192,20200304,0.511,1.158,23.16,5206069,PHOTRON LTD,92080Q01-48,20200304,,JP,BY,USD,1,SE,USD,20200304
L,CA,SAN CLEMENTE,CA,92673,SIT9121AI-2B2-33E100.000000G,22, ,55926225,20200304,2.107,3.62,79.64,1368989,"XLR8 SERVICES, INC.",CAP15429,20200304,,US,BY,USD,1,SE,USD,20200304
L,WEB,SHA TIN,HK,0,SIT8008AI-11-18E-33.333333G,12, ,55926897,20200304,0.511,1.12,13.44,5953884,GALAXY ELECTRONICS(HONGKONG)LIMITED,PO200304724761,20200304,,HK,BY,USD,1,SE,USD,20200304
L,WEB,SAN JOSE,CA,95134,SiT8924BA-72-18E-50.000000E,20, ,55927168,20200304,1.115,1.97,39.4,1688290,SURFACE ART ENGINEERING,HEB67B-01,20200304,,US,BY,USD,1,SE,USD,20200304
L,TX,XIAMEN,FJ,361006,SIT9120AI-2C1-25E200.000000X,50, ,55928625,20200304,1.756,7.33,366.5,5281945,PLEXUS XIAMEN CO LTD,695-7513739-OP,20200304,,CN,BY,USD,1,SE,USD,20200304
L,WEB,HANGZHOU,ZJ,310023,SIT8924AA-38-33E-2.048000X,21, ,55928773,20200304,1.236,2.297,48.237,5343080,SHILONG XU,234521,20200304,,CN,BY,USD,1,SE,USD,20200304
